key,Feature,Description,Gene Name,logFC,adj.P.Val
WT vs MT1,ENSG00000149499,echinoderm microtubule associated protein like 3,EML3,1.2,0.17
WT vs MT1,ENSG00000013523,angel homolog 1 (Drosophila),ANGEL1,0.28,0.15
WT vs MT1,ENSG00000119953,survival motor neuron domain containing 1,SMNDC1,0.2,0.13
WT vs MT1,ENSG00000054983,galactosylceramidase,GALC,0.98,0.18
WT vs MT1,ENSG00000120915,"epoxide hydrolase 2, cytoplasmic",EPHX2,-0.25,0.15
WT vs MT1,ENSG00000100678,"solute carrier family 8 (sodium/calcium exchanger), member 3",SLC8A3,0.27,0.14
WT vs MT1,ENSG00000116711,"phospholipase A2, group IVA (cytosolic, calcium-dependent)",PLA2G4A,-0.26,0.13
WT vs MT1,ENSG00000239388,ankyrin repeat and SOCS box containing 14,ASB14,-0.18,0.13
WT vs MT1,ENSG00000155275,tRNA methyltransferase 44 homolog (S. cerevisiae),TRMT44,0.48,0.18
WT vs MT1,ENSG00000163541,"succinate-CoA ligase, alpha subunit",SUCLG1,-0.77,0.18
WT vs MT1,ENSG00000162804,"sushi, nidogen and EGF-like domains 1",SNED1,0.56,0.18
WT vs MT1,ENSG00000124702,kelch domain containing 3,KLHDC3,-0.2,0.14
WT vs MT1,ENSG00000028528,sorting nexin 1,SNX1,0.57,0.13
WT vs MT1,ENSG00000151502,vacuolar protein sorting 26 homolog B (S. pombe),VPS26B,0.47,0.18
WT vs MT1,ENSG00000257270,"",RP11-521B24.5,-0.38,0.14
WT vs MT1,ENSG00000162614,nexilin (F actin binding protein),NEXN,-0.26,0.13
WT vs MT1,ENSG00000248309,MEF2C antisense RNA 1,MEF2C-AS1,0.45,0.14
WT vs MT1,ENSG00000105520,Lipid phosphate phosphatase-related protein type 2,DKFZP761J1410,0.18,0.14
WT vs MT1,ENSG00000214357,neuralized homolog 1B (Drosophila),NEURL1B,0.2,0.15
WT vs MT1,ENSG00000259984,"",RP11-335G20.7,0.47,0.16
WT vs MT1,ENSG00000179965,zinc finger protein 771,ZNF771,0.74,0.19
WT vs MT1,ENSG00000186806,V-set and immunoglobulin domain containing 10 like,VSIG10L,0.27,0.14
WT vs MT1,ENSG00000064102,asunder spermatogenesis regulator,ASUN,0.29,0.15
WT vs MT1,ENSG00000082074,FYN binding protein,FYB,0.4,0.13
WT vs MT1,ENSG00000110025,sorting nexin 15,SNX15,0.59,0.19
WT vs MT1,ENSG00000101213,protein tyrosine kinase 6,PTK6,0.58,0.12
WT vs MT1,ENSG00000147130,"zinc finger, MYM-type 3",ZMYM3,0.88,0.18
WT vs MT1,ENSG00000135919,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2",SERPINE2,0.26,0.14
WT vs MT1,ENSG00000231731,"",AC010976.2,-0.4,0.15
WT vs MT1,ENSG00000171314,phosphoglycerate mutase 1 (brain),PGAM1,0.23,0.15
WT vs MT1,ENSG00000104980,translocase of inner mitochondrial membrane 44 homolog (yeast),TIMM44,-0.18,0.13
WT vs MT1,ENSG00000245849,RAD51 antisense RNA 1 (head to head),RAD51-AS1,-0.3,0.15
WT vs MT1,ENSG00000204271,"spindlin family, member 3",SPIN3,0.21,0.14
WT vs MT1,ENSG00000088035,"ALG6, alpha-1,3-glucosyltransferase",ALG6,-0.66,0.17
WT vs MT1,ENSG00000147050,lysine (K)-specific demethylase 6A,KDM6A,-0.63,0.15
WT vs MT1,ENSG00000117010,zinc finger protein 684,ZNF684,-0.18,0.15
WT vs MT1,ENSG00000163714,U2 snRNP-associated SURP domain containing,U2SURP,0.67,0.19
WT vs MT1,ENSG00000119715,estrogen-related receptor beta,ESRRB,-1,0.18
WT vs MT1,ENSG00000232347,"",RP11-488L18.8,0.25,0.13
WT vs MT1,ENSG00000181222,"polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",POLR2A,0.77,0.17
WT vs MT1,ENSG00000225393,"",RP11-218L14.4,-0.28,0.15
WT vs MT1,ENSG00000115761,nucleolar protein 10,NOL10,0.64,0.19
WT vs MT1,ENSG00000203875,small nucleolar RNA host gene 5 (non-protein coding),SNHG5,0.58,0.19
WT vs MT1,ENSG00000131781,flavin containing monooxygenase 5,FMO5,-0.16,0.13
WT vs MT1,ENSG00000004139,sterile alpha and TIR motif containing 1,SARM1,0.54,0.16
WT vs MT1,ENSG00000166266,cullin 5,CUL5,-0.2,0.14
WT vs MT1,ENSG00000234062,"",RP11-308D16.4,-0.6,0.19
WT vs MT1,ENSG00000105610,Kruppel-like factor 1 (erythroid),KLF1,0.29,0.15
WT vs MT1,ENSG00000170471,"Ral GTPase activating protein, beta subunit (non-catalytic)",RALGAPB,1.2,0.19
WT vs MT1,ENSG00000163554,"spectrin, alpha, erythrocytic 1 (elliptocytosis 2)",SPTA1,0.37,0.17
WT vs MT1,ENSG00000188026,Rab interacting lysosomal protein-like 1,RILPL1,-0.22,0.15
WT vs MT1,ENSG00000172725,"coronin, actin binding protein, 1B",CORO1B,-0.16,0.13
WT vs MT1,ENSG00000171159,chromosome 9 open reading frame 16,C9orf16,0.29,0.15
WT vs MT1,ENSG00000185305,ADP-ribosylation factor-like 15,ARL15,-1.1,0.17
WT vs MT1,ENSG00000167543,tumor protein p53 inducible protein 13,TP53I13,-0.76,0.19
WT vs MT1,ENSG00000167383,zinc finger protein 229,ZNF229,0.4,0.13
WT vs MT1,ENSG00000225163,long intergenic non-protein coding RNA 618,LINC00618,0.9,0.19
WT vs MT1,ENSG00000100258,lipase maturation factor 2,LMF2,1.3,0.19
WT vs MT1,ENSG00000158089,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14),GALNT14,-0.28,0.15
WT vs MT1,ENSG00000025770,"non-SMC condensin II complex, subunit H2",NCAPH2,0.18,0.14
WT vs MT1,ENSG00000253738,"",GS1-251I9.4,-0.22,0.14
WT vs MT1,ENSG00000183793,"nuclear pore complex interacting protein family, member A5",NPIPA5,0.33,0.15
WT vs MT1,ENSG00000146830,GRB10 interacting GYF protein 1,GIGYF1,0.44,0.19
WT vs MT1,ENSG00000168569,transmembrane protein 223,TMEM223,-0.28,0.16
WT vs MT1,ENSG00000239235,"","",0.2,0.14
WT vs MT1,ENSG00000122188,lymphocyte transmembrane adaptor 1,LAX1,-0.95,0.2
WT vs MT1,ENSG00000236997,"","",0.62,0.16
WT vs MT1,ENSG00000114125,ring finger protein 7,RNF7,-0.93,0.19
WT vs MT1,ENSG00000083838,zinc finger protein 446,ZNF446,0.35,0.16
WT vs MT1,ENSG00000166275,chromosome 10 open reading frame 32,C10orf32,1.1,0.19
WT vs MT1,ENSG00000188107,eyes shut homolog (Drosophila),EYS,0.46,0.13
WT vs MT1,ENSG00000144591,GDP-mannose pyrophosphorylase A,GMPPA,-0.62,0.2
WT vs MT1,ENSG00000147065,moesin,MSN,-0.17,0.14
WT vs MT1,ENSG00000111666,choline phosphotransferase 1,CHPT1,-0.15,0.13
WT vs MT1,ENSG00000184916,jagged 2,JAG2,0.26,0.17
WT vs MT1,ENSG00000228246,"","",-0.41,0.15
WT vs MT1,ENSG00000108515,"enolase 3 (beta, muscle)",ENO3,0.55,0.19
WT vs MT1,ENSG00000257433,"",RP1-197B17.3,0.25,0.16
WT vs MT1,ENSG00000105483,"caspase recruitment domain family, member 8",CARD8,0.38,0.15
WT vs MT1,ENSG00000101928,motile sperm domain containing 1,MOSPD1,-0.66,0.2
WT vs MT1,ENSG00000228223,HLA complex group 11 (non-protein coding),HCG11,0.18,0.13
WT vs MT1,ENSG00000130751,neuronal PAS domain protein 1,NPAS1,0.19,0.15
WT vs MT1,ENSG00000049089,"collagen, type IX, alpha 2",COL9A2,-0.33,0.17
WT vs MT1,ENSG00000062370,zinc finger protein 112,ZNF112,-0.37,0.16
WT vs MT1,ENSG00000197296,fat storage-inducing transmembrane protein 2,FITM2,0.56,0.2
WT vs MT1,ENSG00000178932,"","",-1.4,0.18
WT vs MT1,ENSG00000260230,"",RP11-526J3.3,-0.27,0.14
WT vs MT1,ENSG00000214941,"zinc finger, SWIM-type containing 7",ZSWIM7,-0.17,0.13
WT vs MT1,ENSG00000178996,sorting nexin 18,SNX18,-0.22,0.15
WT vs MT1,ENSG00000160584,SIK family kinase 3,SIK3,1.2,0.2
WT vs MT1,ENSG00000127124,human immunodeficiency virus type I enhancer binding protein 3,HIVEP3,-0.54,0.2
WT vs MT1,ENSG00000136371,"5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)",MTHFS,-0.16,0.14
WT vs MT1,ENSG00000131653,"TNF receptor-associated factor 7, E3 ubiquitin protein ligase",TRAF7,0.71,0.2
WT vs MT1,ENSG00000122705,"clathrin, light chain A",CLTA,-0.17,0.15
WT vs MT1,ENSG00000197863,zinc finger protein 790,ZNF790,-0.15,0.14
WT vs MT1,ENSG00000221500,"small nucleolar RNA, C/D box 100",SNORD100,0.85,0.2
WT vs MT1,ENSG00000168026,tetratricopeptide repeat domain 21A,TTC21A,-0.18,0.14
WT vs MT1,ENSG00000127863,"tumor necrosis factor receptor superfamily, member 19",TNFRSF19,-0.3,0.19
WT vs MT1,ENSG00000108797,contactin associated protein 1,CNTNAP1,-0.21,0.16
WT vs MT1,ENSG00000186648,leucine rich repeat containing 16B,LRRC16B,-0.41,0.15
WT vs MT1,ENSG00000185561,TLC domain containing 2,TLCD2,0.16,0.15
WT vs MT1,ENSG00000166947,erythrocyte membrane protein band 4.2,EPB42,0.15,0.15
WT vs MT1,ENSG00000255135,"",RP11-111M22.3,-0.38,0.19
WT vs MT1,ENSG00000089820,Rho GTPase activating protein 4,ARHGAP4,1.1,0.21
WT vs MT1,ENSG00000059915,pleckstrin and Sec7 domain containing,PSD,-0.99,0.21
WT vs MT1,ENSG00000260948,"",RP11-552M11.8,0.34,0.18
WT vs MT1,ENSG00000169519,methyltransferase like 15,METTL15,-0.16,0.13
WT vs MT1,ENSG00000128342,leukemia inhibitory factor,LIF,-0.22,0.13
WT vs MT1,ENSG00000211450,chromosome 11 open reading frame 31,C11orf31,0.34,0.16
WT vs MT1,ENSG00000134684,tyrosyl-tRNA synthetase,YARS,-0.47,0.18
WT vs MT1,ENSG00000118939,ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase),UCHL3,-0.26,0.16
WT vs MT1,ENSG00000131016,A kinase (PRKA) anchor protein 12,AKAP12,0.28,0.14
WT vs MT1,ENSG00000213420,glypican 2,GPC2,0.91,0.2
WT vs MT1,ENSG00000101193,GID complex subunit 8 homolog (S. cerevisiae),GID8,0.8,0.2
WT vs MT1,ENSG00000012232,exostosin-like glycosyltransferase 3,EXTL3,0.35,0.17
WT vs MT1,ENSG00000127366,"taste receptor, type 2, member 5",TAS2R5,0.78,0.21
WT vs MT1,ENSG00000023318,endoplasmic reticulum protein 44,ERP44,-0.53,0.21
WT vs MT1,ENSG00000001630,"cytochrome P450, family 51, subfamily A, polypeptide 1",CYP51A1,-0.64,0.21
WT vs MT1,ENSG00000181135,zinc finger protein 707,ZNF707,-0.2,0.14
WT vs MT1,ENSG00000071626,DAZ associated protein 1,DAZAP1,0.22,0.16
WT vs MT1,ENSG00000136874,syntaxin 17,STX17,0.2,0.14
WT vs MT1,ENSG00000197472,zinc finger protein 695,ZNF695,0.6,0.21
WT vs MT1,ENSG00000178075,GRAM domain containing 1C,GRAMD1C,0.49,0.14
WT vs MT1,ENSG00000250317,small integral membrane protein 20,SMIM20,-0.83,0.21
WT vs MT1,ENSG00000239665,Uncharacterized protein,RP11-295P9.3,-0.23,0.15
WT vs MT1,ENSG00000170515,"proliferation-associated 2G4, 38kDa",PA2G4,-0.31,0.16
WT vs MT1,ENSG00000139697,strawberry notch homolog 1 (Drosophila),SBNO1,-0.34,0.16
WT vs MT1,ENSG00000105479,coiled-coil domain containing 114,CCDC114,-0.61,0.2
WT vs MT1,ENSG00000175348,"TMEM9 domain family, member B",TMEM9B,-0.16,0.15
WT vs MT1,ENSG00000142065,ZFP14 zinc finger protein,ZFP14,-0.16,0.15
WT vs MT1,ENSG00000114054,"propionyl CoA carboxylase, beta polypeptide",PCCB,-0.35,0.15
WT vs MT1,ENSG00000118777,"ATP-binding cassette, sub-family G (WHITE), member 2",ABCG2,-0.25,0.17
WT vs MT1,ENSG00000138161,CUB and zona pellucida-like domains 1,CUZD1,0.41,0.2
WT vs MT1,ENSG00000103351,clusterin associated protein 1,CLUAP1,0.3,0.17
WT vs MT1,ENSG00000198221,MLLT4 antisense RNA 1 (head to head),MLLT4-AS1,-0.21,0.15
WT vs MT1,ENSG00000169020,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E",ATP5I,0.34,0.15
WT vs MT1,ENSG00000125691,ribosomal protein L23,RPL23,-1.2,0.21
WT vs MT1,ENSG00000189045,ankyrin repeat and death domain containing 1B,ANKDD1B,0.93,0.21
WT vs MT1,ENSG00000247134,"",RP11-11N9.4,-0.62,0.22
WT vs MT1,ENSG00000198853,RUN and SH3 domain containing 2,RUSC2,0.27,0.18
WT vs MT1,ENSG00000132823,oxidative stress responsive serine-rich 1,OSER1,0.97,0.21
WT vs MT1,ENSG00000148841,"inositol 1,4,5-trisphosphate receptor interacting protein",ITPRIP,-0.61,0.22
WT vs MT1,ENSG00000225840,"",AC010970.2,1.2,0.21
WT vs MT1,ENSG00000130024,PHD finger protein 10,PHF10,0.47,0.2
WT vs MT1,ENSG00000139405,chromosome 12 open reading frame 52,C12orf52,0.81,0.22
WT vs MT1,ENSG00000204219,"transcription elongation factor A (SII), 3",TCEA3,-0.19,0.15
WT vs MT1,ENSG00000112081,serine/arginine-rich splicing factor 3,SRSF3,-0.18,0.15
WT vs MT1,ENSG00000101745,ankyrin repeat domain 12,ANKRD12,-0.24,0.15
WT vs MT1,ENSG00000154429,"centriole, cilia and spindle-associated protein",CCSAP,0.39,0.2
WT vs MT1,ENSG00000197579,"topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase",TOPORS,-0.16,0.15
WT vs MT1,ENSG00000112365,zinc finger and BTB domain containing 24,ZBTB24,-0.19,0.16
WT vs MT1,ENSG00000161860,synaptonemal complex central element protein 2,SYCE2,-0.35,0.21
WT vs MT1,ENSG00000075303,"solute carrier family 25, member 40",SLC25A40,0.37,0.18
WT vs MT1,ENSG00000196417,zinc finger protein 765,ZNF765,0.64,0.22
WT vs MT1,ENSG00000107731,unc-5 homolog B (C. elegans),UNC5B,0.37,0.2
WT vs MT1,ENSG00000234072,"",AC074117.10,0.46,0.21
WT vs MT1,ENSG00000182095,trinucleotide repeat containing 18,TNRC18,0.34,0.15
WT vs MT1,ENSG00000251026,"",RP11-138J23.1,0.34,0.15
WT vs MT1,ENSG00000102103,polyglutamine binding protein 1,PQBP1,-0.17,0.15
WT vs MT1,ENSG00000196151,"WD repeat, sterile alpha motif and U-box domain containing 1",WDSUB1,-0.21,0.15
WT vs MT1,ENSG00000142867,B-cell CLL/lymphoma 10,BCL10,0.63,0.21
WT vs MT1,ENSG00000085552,"immunoglobulin superfamily, member 9",IGSF9,0.21,0.17
WT vs MT1,ENSG00000198756,collagen beta(1-O)galactosyltransferase 2,COLGALT2,0.76,0.22
WT vs MT1,ENSG00000178409,BEN domain containing 3,BEND3,-0.87,0.21
WT vs MT1,ENSG00000147813,nicotinate phosphoribosyltransferase domain containing 1,NAPRT1,-0.47,0.21
WT vs MT1,ENSG00000122068,forty-two-three domain containing 1,FYTTD1,1.2,0.21
WT vs MT1,ENSG00000152443,zinc finger protein 776,ZNF776,0.84,0.21
WT vs MT1,ENSG00000168003,"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2",SLC3A2,-0.63,0.22
WT vs MT1,ENSG00000141424,"solute carrier family 39 (zinc transporter), member 6",SLC39A6,0.34,0.19
WT vs MT1,ENSG00000125375,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)",ATP5S,-0.27,0.18
WT vs MT1,ENSG00000186815,two pore segment channel 1,TPCN1,0.28,0.18
WT vs MT1,ENSG00000259812,"",RP11-5N23.3,0.47,0.22
WT vs MT1,ENSG00000168159,ring finger protein 187,RNF187,-0.46,0.16
WT vs MT1,ENSG00000113048,mitochondrial ribosomal protein S27,MRPS27,-0.2,0.18
WT vs MT2,ENSG00000083520,DIS3 mitotic control homolog (S. cerevisiae),DIS3,0.1,0.85
WT vs MT2,ENSG00000025156,heat shock transcription factor 2,HSF2,0.13,0.71
WT vs MT2,ENSG00000103042,"solute carrier family 38, member 7",SLC38A7,-0.11,0.84
WT vs MT2,ENSG00000153395,lysophosphatidylcholine acyltransferase 1,LPCAT1,-0.056,0.81
WT vs MT2,ENSG00000184178,sec1 family domain containing 2,SCFD2,0.066,0.77
WT vs MT2,ENSG00000157404,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,KIT,-0.087,0.81
WT vs MT2,ENSG00000175198,"propionyl CoA carboxylase, alpha polypeptide",PCCA,0.2,0.45
WT vs MT2,ENSG00000135549,"protein kinase (cAMP-dependent, catalytic) inhibitor beta",PKIB,-0.44,0.87
WT vs MT2,ENSG00000100316,ribosomal protein L3,RPL3,0.18,0.073
WT vs MT2,ENSG00000169972,pseudouridylate synthase-like 1,PUSL1,0.1,0.48
WT vs MT2,ENSG00000136824,structural maintenance of chromosomes 2,SMC2,-0.091,0.68
WT vs MT2,ENSG00000107438,PDZ and LIM domain 1,PDLIM1,-0.24,0.62
WT vs MT2,ENSG00000001461,NIPA-like domain containing 3,NIPAL3,0.17,0.32
WT vs MT2,ENSG00000149554,checkpoint kinase 1,CHEK1,-0.53,0.76
WT vs MT2,ENSG00000197930,ERO1-like (S. cerevisiae),ERO1L,0.59,0.0035
WT vs MT2,ENSG00000164303,ectonucleotide pyrophosphatase/phosphodiesterase 6,ENPP6,0.37,0.001
WT vs MT2,ENSG00000106327,transferrin receptor 2,TFR2,0.39,0.036
WT vs MT2,ENSG00000152128,transmembrane protein 163,TMEM163,0.29,0.6
WT vs MT2,ENSG00000155229,MMS19 nucleotide excision repair homolog (S. cerevisiae),MMS19,-0.022,0.97
WT vs MT2,ENSG00000153814,JAZF zinc finger 1,JAZF1,0.24,0.097
WT vs MT2,ENSG00000108055,structural maintenance of chromosomes 3,SMC3,0.036,0.95
WT vs MT2,ENSG00000228393,"",RP11-325F22.3,-0.16,0.8
WT vs MT2,ENSG00000165121,"",RP11-213G2.3,-0.1,0.55
WT vs MT2,ENSG00000135905,dedicator of cytokinesis 10,DOCK10,0.21,0.29
WT vs MT2,ENSG00000095059,deoxyhypusine synthase,DHPS,0.26,0.15
WT vs MT2,ENSG00000196154,S100 calcium binding protein A4,S100A4,-0.07,0.78
WT vs MT2,ENSG00000165929,"tandem C2 domains, nuclear",TC2N,0.19,0.94
WT vs MT2,ENSG00000175274,tumor protein p53 inducible protein 11,TP53I11,-0.38,0.049
WT vs MT2,ENSG00000168765,glutathione S-transferase mu 4,GSTM4,-0.28,0.11
WT vs MT2,ENSG00000120805,ADP-ribosylation factor-like 1,ARL1,0.066,0.81
WT vs MT2,ENSG00000169299,phosphoglucomutase 2,PGM2,0.0082,0.99
WT vs MT2,ENSG00000143727,"acid phosphatase 1, soluble",ACP1,0.11,0.44
WT vs MT2,ENSG00000136279,drebrin-like,DBNL,-0.0057,1
WT vs MT2,ENSG00000011677,"gamma-aminobutyric acid (GABA) A receptor, alpha 3",GABRA3,-0.11,0.44
WT vs MT2,ENSG00000119280,chromosome 1 open reading frame 198,C1orf198,-0.017,0.97
WT vs MT2,ENSG00000259004,"",RP11-8L8.2,0.54,0.047
WT vs MT2,ENSG00000198258,ubiquitin-like 5,UBL5,-0.43,0.011
WT vs MT2,ENSG00000204435,"casein kinase 2, beta polypeptide",CSNK2B,-0.023,0.97
WT vs MT2,ENSG00000204315,FK506 binding protein like,FKBPL,0.066,0.88
WT vs MT2,ENSG00000063438,aryl-hydrocarbon receptor repressor,AHRR,-0.088,0.85
WT vs MT2,ENSG00000111981,UL16 binding protein 1,ULBP1,0.15,0.32
WT vs MT2,ENSG00000122257,retinoblastoma binding protein 6,RBBP6,-0.55,0.0009
WT vs MT2,ENSG00000168350,"delta(4)-desaturase, sphingolipid 2",DEGS2,-0.15,0.23
WT vs MT2,ENSG00000100823,APEX nuclease (multifunctional DNA repair enzyme) 1,APEX1,0.17,0.39
WT vs MT2,ENSG00000205683,"D4, zinc and double PHD fingers, family 3",DPF3,-0.45,0.051
WT vs MT2,ENSG00000126756,"ubiquitously-expressed, prefoldin-like chaperone",UXT,0.17,0.44
WT vs MT2,ENSG00000229801,"",RP11-353N4.1,-0.6,0.1
WT vs MT2,ENSG00000173511,vascular endothelial growth factor B,VEGFB,-0.47,0.014
WT vs MT2,ENSG00000128000,zinc finger protein 780B,ZNF780B,-0.71,0.0083
WT vs MT2,ENSG00000164332,ubiquitin-like domain containing CTD phosphatase 1,UBLCP1,0.11,0.55
WT vs MT2,ENSG00000188643,S100 calcium binding protein A16,S100A16,0.18,0.16
WT vs MT2,ENSG00000142676,ribosomal protein L11,RPL11,0.097,0.74
WT vs MT2,ENSG00000213889,"protein phosphatase, Mg2+/Mn2+ dependent, 1N (putative)",PPM1N,-0.17,0.25
WT vs MT2,ENSG00000133422,MORC family CW-type zinc finger 2,MORC2,0.5,0.033
WT vs MT2,ENSG00000137449,cytoplasmic polyadenylation element binding protein 2,CPEB2,-0.048,0.85
WT vs MT2,ENSG00000114626,ankyrin repeat and BTB (POZ) domain containing 1,ABTB1,0.096,0.89
WT vs MT2,ENSG00000235823,long intergenic non-protein coding RNA 263,LINC00263,0.18,0.54
WT vs MT2,ENSG00000130305,"NOP2/Sun domain family, member 5",NSUN5,-0.065,0.74
WT vs MT2,ENSG00000234630,"",LL22NC03-2H8.4,0.18,0.36
WT vs MT2,ENSG00000213672,NCK interacting protein with SH3 domain,NCKIPSD,0.17,0.35
WT vs MT2,ENSG00000233058,long intergenic non-protein coding RNA 884,LINC00884,-0.18,0.34
WT vs MT2,ENSG00000257727,canopy 2 homolog (zebrafish),CNPY2,0.32,0.23
WT vs MT2,ENSG00000235373,"",RP11-206L10.3,-0.026,0.97
WT vs MT2,ENSG00000161036,leucine-rich repeats and WD repeat domain containing 1,LRWD1,-0.069,0.95
WT vs MT2,ENSG00000255200,"",AP003068.18,0.12,0.59
WT vs MT2,ENSG00000186166,coiled-coil domain containing 84,CCDC84,-0.088,0.84
WT vs MT2,ENSG00000068438,FtsJ RNA methyltransferase homolog 1 (E. coli),FTSJ1,0.69,0.0017
WT vs MT2,ENSG00000169714,"CCHC-type zinc finger, nucleic acid binding protein",CNBP,-0.037,0.91
WT vs MT2,ENSG00000168385,septin 2,SEPT2,0.19,0.35
WT vs MT2,ENSG00000126602,TNF receptor-associated protein 1,TRAP1,0.29,0.084
WT vs MT2,ENSG00000133636,neurotensin,NTS,-0.06,0.73
WT vs MT2,ENSG00000150977,Rab interacting lysosomal protein-like 2,RILPL2,0.078,0.57
WT vs MT2,ENSG00000162650,ataxin 7-like 2,ATXN7L2,0.76,0.01
WT vs MT2,ENSG00000107404,dishevelled segment polarity protein 1,DVL1,-0.17,0.51
WT vs MT2,ENSG00000248593,destrin (actin depolymerizing factor) pseudogene 2,DSTNP2,0.25,0.56
WT vs MT2,ENSG00000174749,chromosome 4 open reading frame 32,C4orf32,-0.21,0.63
WT vs MT2,ENSG00000260442,"",RP11-22P6.3,-0.33,0.25
WT vs MT2,ENSG00000241181,"","",-0.63,0.16
WT vs MT2,ENSG00000187531,sirtuin 7,SIRT7,0.33,0.36
WT vs MT2,ENSG00000162415,"zinc finger, SWIM-type containing 5",ZSWIM5,-0.033,0.92
WT vs MT2,ENSG00000205903,zinc finger protein 316,ZNF316,0.21,0.09
WT vs MT2,ENSG00000121680,peroxisomal biogenesis factor 16,PEX16,0.33,0.0017
WT vs MT2,ENSG00000077150,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),NFKB2,-0.16,0.086
WT vs MT2,ENSG00000161542,phosphoribosyl pyrophosphate synthetase-associated protein 1,PRPSAP1,0.15,0.62
WT vs MT2,ENSG00000135390,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)",ATP5G2,-0.053,0.87
WT vs MT2,ENSG00000157657,zinc finger protein 618,ZNF618,0.0058,0.98
WT vs MT2,ENSG00000073614,lysine (K)-specific demethylase 5A,KDM5A,-0.12,0.78
WT vs MT2,ENSG00000179933,chromosome 14 open reading frame 119,C14orf119,0.099,0.92
WT vs MT2,ENSG00000106052,Tax1 (human T-cell leukemia virus type I) binding protein 1,TAX1BP1,-0.087,0.44
WT vs MT2,ENSG00000011422,"plasminogen activator, urokinase receptor",PLAUR,0.23,0.16
WT vs MT2,ENSG00000185100,adenylosuccinate synthase like 1,ADSSL1,0.31,0.11
WT vs MT2,ENSG00000147140,"non-POU domain containing, octamer-binding",NONO,0.47,0.021
WT vs MT2,ENSG00000254933,"",RP11-619A14.2,0.0095,0.97
WT vs MT2,ENSG00000112039,"Fanconi anemia, complementation group E",FANCE,0.21,0.53
WT vs MT2,ENSG00000170385,"solute carrier family 30 (zinc transporter), member 1",SLC30A1,0.053,0.88
WT vs MT2,ENSG00000081154,PEST proteolytic signal containing nuclear protein,PCNP,-0.27,0.017
WT vs MT2,ENSG00000081059,"transcription factor 7 (T-cell specific, HMG-box)",TCF7,0.032,0.9
WT vs MT2,ENSG00000163348,pygopus homolog 2 (Drosophila),PYGO2,0.22,0.53
WT vs MT2,ENSG00000132297,HERV-H LTR-associating 1,HHLA1,-0.24,0.2
WT vs MT2,ENSG00000180488,"family with sequence similarity 73, member A",FAM73A,0.13,0.69
WT vs MT2,ENSG00000132466,ankyrin repeat domain 17,ANKRD17,0.42,0.072
WT vs MT2,ENSG00000069869,"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase",NEDD4,0.24,0.034
WT vs MT2,ENSG00000106603,cytochrome c oxidase assembly factor 1 homolog (S. cerevisiae),COA1,-0.14,0.39
WT vs MT2,ENSG00000101310,Sec23 homolog B (S. cerevisiae),SEC23B,0.14,0.81
WT vs MT2,ENSG00000032389,tumor suppressing subtransferable candidate 1,TSSC1,0.12,0.72
WT vs MT2,ENSG00000198818,SFT2 domain containing 1,SFT2D1,-0.054,0.96
WT vs MT2,ENSG00000101445,"protein phosphatase 1, regulatory subunit 16B",PPP1R16B,-0.48,0.09
WT vs MT2,ENSG00000168004,"HRAS-like suppressor family, member 5",HRASLS5,-0.075,0.87
WT vs MT2,ENSG00000138050,THUMP domain containing 2,THUMPD2,0.24,0.046
WT vs MT2,ENSG00000230295,"",RP11-458F8.2,0.0018,1
WT vs MT2,ENSG00000125841,neurensin 2,NRSN2,0.17,0.47
WT vs MT2,ENSG00000052795,folliculin interacting protein 2,FNIP2,-0.24,0.33
WT vs MT2,ENSG00000167491,GATA zinc finger domain containing 2A,GATAD2A,-0.27,0.11
WT vs MT2,ENSG00000260260,"",RP11-304L19.5,0.16,0.72
WT vs MT2,ENSG00000128973,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant",CLN6,-0.15,0.39
WT vs MT2,ENSG00000081791,KIAA0141,KIAA0141,0.29,0.35
WT vs MT2,ENSG00000140526,abhydrolase domain containing 2,ABHD2,0.12,0.9
WT vs MT2,ENSG00000233264,"",AC006042.8,0.67,0.059
WT vs MT2,ENSG00000009724,mannan-binding lectin serine peptidase 2,MASP2,0.39,0.089
WT vs MT2,ENSG00000156052,"guanine nucleotide binding protein (G protein), q polypeptide",GNAQ,0.016,0.95
WT vs MT2,ENSG00000230149,"",RP3-508I15.19,-0.044,0.83
WT vs MT2,ENSG00000160216,1-acylglycerol-3-phosphate O-acyltransferase 3,AGPAT3,0.27,0.23
